t d dw dc
0.2335 -0.2822438874 -0.1808673032 -0.2822415876
0.234 -0.2878561487 -0.1810674876 -0.2878538032
0.2345 -0.2934429462 -0.1814408232 -0.2934405552
0.235 -0.2989999199 -0.1819870361 -0.2989974836
0.2355 -0.30452268 -0.1827054254 -0.3045201986
0.236 -0.310006816 -0.1835948653 -0.31000429
0.2365 -0.3154479059 -0.1846538076 -0.3154453356
0.237 -0.3208415248 -0.1858802854 -0.3208389105
0.2375 -0.3261832542 -0.187271917 -0.3261805964
0.238 -0.331468691 -0.1888259117 -0.3314659901
0.2385 -0.3366934568 -0.1905390754 -0.3366907134
0.239 -0.3418532066 -0.1924078177 -0.3418504211
0.2395 -0.346943638 -0.19442816 -0.346940811
0.24 -0.3519604999 -0.1965957433 -0.3519576321
0.2405 -0.3568996017 -0.1989058381 -0.3568966936
0.241 -0.3617568214 -0.2013533546 -0.3617538737
0.2415 -0.3665281147 -0.203932853 -0.3665251281
0.242 -0.371209523 -0.2066385555 -0.3712064984
0.2425 -0.3757971821 -0.2094643586 -0.3757941201
0.243 -0.3802873297 -0.2124038458 -0.380284231
0.2435 -0.3846763135 -0.2154503013 -0.384673179
0.244 -0.3889605987 -0.2185967243 -0.3889574294
0.2445 -0.3931367756 -0.2218358436 -0.3931335723
0.245 -0.3972015664 -0.2251601333 -0.39719833
0.2455 -0.4011518321 -0.2285618282 -0.4011485634
0.246 -0.4049845788 -0.2320329406 -0.4049812789
0.2465 -0.4086969644 -0.2355652769 -0.4086936343
0.247 -0.4122863041 -0.2391504547 -0.4122829447
0.2475 -0.4157500759 -0.2427799207 -0.4157466883
0.248 -0.419085926 -0.2464449686 -0.4190825111
0.2485 -0.4222916734 -0.2501367571 -0.4222882324
0.249 -0.4253653145 -0.253846329 -0.4253618486
0.2495 -0.4283050273 -0.2575646292 -0.4283015374
0.25 -0.4311091747 -0.2612825243 -0.4311056619
0.2505 -0.4337763079 -0.2649908217 -0.4337727733
0.251 -0.4363051694 -0.2686802881 -0.4363016143
0.2515 -0.4386946954 -0.2723416699 -0.4386911208
0.252 -0.4409440176 -0.2759657114 -0.4409404247
0.2525 -0.4430524651 -0.2795431751 -0.443048855
0.253 -0.4450195652 -0.2830648604 -0.4450159391
0.2535 -0.4468450445 -0.2865216227 -0.4468414035
0.254 -0.4485288288 -0.2899043929 -0.4485251741
0.2545 -0.4500710432 -0.293204196 -0.4500673759
0.255 -0.4514720115 -0.2964121698 -0.4514683328
0.2555 -0.4527322549 -0.2995195835 -0.4527285659
0.256 -0.453852491 -0.3025178555 -0.4538487929
0.2565 -0.4548336313 -0.3053985715 -0.4548299252
0.257 -0.4556767795 -0.3081535019 -0.4556730666
0.2575 -0.4563832283 -0.3107746191 -0.4563795096
0.258 -0.4569544564 -0.3132541135 -0.456950733
0.2585 -0.4573921249 -0.3155844106 -0.457388398
0.259 -0.4576980733 -0.3177581859 -0.4576943439
0.2595 -0.4578743152 -0.3197683804 -0.4578705844
0.26 -0.4579230336 -0.3216082153 -0.4579193023
0.2605 -0.4578465755 -0.3232712058 -0.4578428448
0.261 -0.4576474466 -0.3247511747 -0.4576437176
0.2615 -0.4573283057 -0.326042265 -0.4573245793
0.262 -0.456891958 -0.3271389521 -0.4568882351
0.2625 -0.456341349 -0.3280360551 -0.4563376306
0.263 -0.4556795575 -0.3287287478 -0.4556758445
0.2635 -0.4549097888 -0.329212568 -0.4549060821
